Room type,Price,Location,URL
Habitación Individual · Sólo chicas,350 €/mes,"Humanes de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,390 €/mes,"Centro, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,500 €/mes,"Ríos Rosas, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,385 €/mes,"Ensanche, Ensanche-Espartales, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"San Nicasio-Campo de Tiro-Solagua, Leganés, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"San Nicasio-Campo de Tiro-Solagua, Leganés, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Hortaleza, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Hortaleza, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,480 €/mes,"Centro, Las Rozas de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,480 €/mes,"Centro, Las Rozas de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,475 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,425 €/mes,"Bellas Vistas, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Sol, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Sol, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,362 €/mes,"Las Margaritas-Universidad, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,362 €/mes,"Las Margaritas-Universidad, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,650 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,600 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,450 €/mes,"Casco, Rivas-Vaciamadrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,575 €/mes,"Cuatro Caminos, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,575 €/mes,"Cuatro Caminos, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,200 €/mes,"Almenara, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,200 €/mes,"Almenara, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Pau de Carabanchel, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,223 €/mes,"Pilar, Fuencarral-El Pardo, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,450 €/mes,"Coimbra-Guadarrama, Móstoles, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Estrella, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
